gene	T273_b16_Adr_PCW18	T318_b16_Adr_PCW21	T390_b16_Adr_PCW13	T40_b16_Adr_PCW17
ANKRD34A	4	5	0	3
ANKRD34B	0	2	0	1
ANKRD34C	0	0	0	4
ANKRD34C-AS1	54	92	5	81
ANKRD35	31	58	6	26
ANKRD36	685	1844	335	1485
ANKRD36B	261	532	82	396
ANKRD36C	602	1228	292	904
ANKRD37	12	87	3	14
ANKRD39	3	2	0	3
ANKRD40	74	77	8	69
ANKRD42	237	256	13	143
ANKRD42-DT	156	148	12	137
ANKRD44	428	840	98	733
ANKRD46	239	256	24	227
ANKRD49	43	33	2	32
ANKRD50	291	265	57	419
ANKRD52	368	400	47	458
ANKRD53	3	4	2	7
ANKRD54	65	91	4	92
ANKRD55	65	92	13	58
ANKRD55-AS1	124	163	7	80
ANKRD6	130	236	27	194
ANKRD6-AS1	0	2	0	0
ANKRD60	0	1	0	0
ANKRD61	2	3	0	4
ANKRD62	8	14	0	8
ANKRD62P1-PARP4P3	0	3	0	4
ANKRD7	528	776	32	345
ANKRD9	36	73	0	16
ANKS1A	1181	1592	159	1111
ANKS1B	442	634	157	498
ANKS3	239	212	19	235
ANKS4B	5	10	0	2
ANKS6	123	194	8	144
ANKUB1	311	306	20	288
ANKZF1	124	290	17	95
ANLN	38	61	24	160
ANO1	111	156	32	78
ANO10	341	507	134	459
ANO2	72	128	15	65
ANO3	112	161	8	79
ANO3-AS1	9	16	2	6
ANO4	486	972	58	472
ANO5	173	312	40	237
ANO6	1031	1438	196	1157
ANO7	36	77	0	74
ANO8	62	173	5	111
ANO9	8	16	0	11
ANOS1	55	80	15	48
ANP32A	665	526	55	357
ANP32B	143	231	28	230
ANP32D	0	6	0	3
ANP32E	113	155	13	70
ANPEP	25	23	8	18
ANTKMT	5	4	0	4
ANTXR1	883	1121	101	967
ANTXR2	152	167	58	300
ANTXRL	2	6	0	5
ANXA1	14	17	1	17
ANXA10	11	40	2	15
ANXA10-AS1	9	11	1	14
ANXA11	160	172	21	162
ANXA13	18	36	0	13
ANXA2	155	318	35	147
ANXA2R-AS1	63	106	7	113
ANXA2R-OT1	102	124	11	117
ANXA3	4	14	3	4
ANXA4	690	921	40	689
ANXA5	235	620	21	273
ANXA6	98	142	23	203
ANXA7	530	530	28	278
ANXA8	0	0	0	1
ANXA9	5	7	1	7
AOAH	276	385	43	356
AOC1	44	66	4	32
AOC2	14	14	4	13
AOC3	23	61	1	20
AOPEP	2546	6427	347	1870
AOPEP-AS1	10	7	0	4
AOX1	2145	3392	51	359
AOX3P-AOX2P	19	46	1	15
AP1AR	276	300	15	164
AP1AR-DT	1	0	0	2
AP1B1	243	330	26	298
AP1G1	1247	1682	87	763
AP1G2	198	396	27	260
AP1G2-AS1	50	85	4	53
AP1M1	124	195	14	136
AP1M2	23	26	4	12
AP1S1	42	80	4	23
AP1S2	60	100	28	83
AP1S3	44	54	4	37
AP2A1	159	306	23	215
AP2A2	616	1063	113	686
AP2B1	1168	1832	102	742
AP2M1	189	296	19	129
AP2S1	57	84	8	80
AP3B1	1474	1919	153	1165
AP3B2	54	65	18	73
AP3D1	590	831	38	414
AP3M1	246	316	25	234
AP3M2	66	86	17	97
AP3S1	596	778	47	400
AP3S2	11	13	1	14
AP4B1	90	69	7	68
AP4B1-AS1	20	49	2	24
AP4E1	383	513	58	341
AP4M1	45	93	11	68
AP4S1	399	676	53	364
AP5B1	9	16	0	12
AP5M1	192	178	15	169
AP5S1	18	14	9	9
AP5Z1	329	351	7	98
APAF1	152	252	29	214
APBA1	193	213	141	384
APBA2	161	279	54	224
APBA3	37	64	5	22
APBB1	68	77	15	72
APBB1IP	90	145	23	122
APBB2	1162	3322	193	2337
APBB2-AS1	5	8	0	6
APBB3	64	197	2	49
APC	1104	1221	135	1434
APC2	19	28	15	34
APC2-AS1	0	2	0	1
APCDD1	14	40	10	65
APCDD1L	13	24	3	22
APCDD1L-DT	58	141	7	50
APEH	35	72	5	42
APELA	4	5	2	6
APEX1	63	145	3	62
APEX2	12	21	4	13
APH1A	21	68	3	26
APH1B	106	138	24	158
API5	516	757	40	410
APIP	170	348	28	235
APLF	110	189	21	196
APLNR	0	1	0	0
APLP1	5	4	7	8
APLP2	571	1136	23	388
APMAP	154	461	13	77
APOA1	9	11	1	4
APOA1-AS	20	17	4	39
APOB	1	16	3	5
APOBEC1	10	10	0	5
APOBEC2	7	3	4	4
APOBEC3A	17	27	0	13
APOBEC3F	19	24	10	43
APOBEC3G	7	14	8	38
APOBEC3H	6	11	0	3
APOBEC4	2	5	0	5
APOBR	0	1	0	0
APOC1	125	321	7	155
APOC4-APOC2	3	0	0	2
APOD	10	13	0	7
APOE	47	153	6	52
APOF	0	0	0	0
APOH	19	35	2	22
APOL1	6	12	4	9
