gene	T273_b16_Adr_PCW18	T318_b16_Adr_PCW21	T390_b16_Adr_PCW13	T40_b16_Adr_PCW17
ADAMTS2	103	154	18	125
ADAMTS20	24	35	6	24
ADAMTS3	218	590	50	1036
ADAMTS3-AS1	2	4	0	3
ADAMTS4	8	12	0	7
ADAMTS5	23	36	6	42
ADAMTS6	989	2294	93	807
ADAMTS7	93	125	13	88
ADAMTS8	45	37	6	11
ADAMTS9	1629	8131	169	680
ADAMTS9-AS1	14	44	0	14
ADAMTS9-AS2	6293	13672	252	2225
ADAMTSL1	379	755	92	504
ADAMTSL2	11	83	1	8
ADAMTSL3	120	209	21	268
ADAMTSL4	13	29	4	22
ADAMTSL4-AS1	2	0	0	0
ADAMTSL4-AS2	9	13	1	14
ADAMTSL5	5	11	0	2
ADAP1	3	0	0	0
